target_id,source_name,ra_hms,dec_dms,ra_deg,dec_deg,velocity_km_s,eligible_gbt,eligible_eff,eligible_srt,gbt_group,status,assigned_telescope,spectrum_url,observations_count,notes
ugca015,UGCA015,00:49:48.9,-21:00:59.9,12.45375,-21.01663889,294.7,True,False,True,Group01,unobserved,,,0,
eso540-g032,ESO540-G032,00:50:24.3,-19:54:24.2,12.60125,-19.90672222,228.1,True,True,True,Group01,unobserved,,,0,
ugc00521,UGC00521,00:51:12.3,+12:01:31.6,12.80125,12.02544444,657.1,True,True,True,Group01,unobserved,,,0,
cgcg435-015,CGCG435-015,00:51:15.6,+10:47:59.9,12.815,10.79997222,1137.0,False,True,True,,unobserved,,,0,
wiseaj005140-6,WISEAJ005140.6,00:51:40.6,-25:39:01.2,12.91916667,-25.65033333,1259.0,False,False,True,,unobserved,,,0,
wiseaj005156-7,WISEAJ005156.7,00:51:56.8,+11:51:55.7,12.98666667,11.86547222,671.5,True,True,True,Group01,unobserved,,,0,
ngc0278,NGC0278,00:52:04.3,+47:33:01.7,13.01791667,47.55047222,626.6,True,True,True,Group11,unobserved,,,0,
wiseaj005404-8,WISEAJ005404.8,00:54:04.9,+56:51:59.3,13.52041667,56.86647222,840.6,True,True,True,Group11,unobserved,,,0,
galexascj00550,GALEXASCJ00550,00:55:01.0,-23:10:08.9,13.75416667,-23.16913889,249.6,True,False,True,Group01,unobserved,,,0,
wiseaj005823-6,WISEAJ005823.6,00:58:23.7,+04:18:19.7,14.59875,4.30547222,1198.0,False,True,True,,unobserved,,,0,
ngc0337a,NGC0337A,01:01:33.9,-07:35:17.7,15.39125,-7.58825,1073.9,True,True,True,Group01,unobserved,,,0,
galexascj01014,GALEXASCJ01014,01:01:49.0,-27:35:11.8,15.45416667,-27.58661111,1199.2,False,False,True,,unobserved,,,0,
mcg-01-03-085,MCG-01-03-085,01:05:04.9,-06:12:43.7,16.27041667,-6.21213889,1094.8,True,True,True,Group01,unobserved,,,0,
ugc00676,UGC00676,01:06:10.1,+01:14:00.2,16.54208333,1.23338889,6.5,True,True,True,Group01,unobserved,,,0,
wiseaj010719-0,WISEAJ010719.0,01:07:19.1,+21:43:13.2,16.82958333,21.72033333,310.3,True,True,True,Group01,unobserved,,,0,
ugc00685,UGC00685,01:07:22.4,+16:41:04.4,16.84333333,16.68455556,155.9,True,True,True,Group01,unobserved,,,0,
wiseaj010732-4,WISEAJ010732.4,01:07:32.4,+51:26:25.4,16.885,51.44038889,60.9,True,True,True,Group11,unobserved,,,0,
ugc00695,UGC00695,01:07:46.4,+01:03:49.2,16.94333333,1.06366667,645.2,True,True,True,Group01,unobserved,,,0,
shoc053,SHOC053,01:09:08.0,+01:07:15.5,17.28333333,1.12097222,1167.8,False,True,True,,unobserved,,,0,
wiseaj010909-9,WISEAJ010909.9,01:09:09.9,+01:17:31.6,17.29125,1.29211111,1094.0,True,True,True,Group01,unobserved,,,0,
sdssj011003-63,SDSSJ011003.63,01:10:03.6,-00:00:36.4,17.515,-0.01011111,1136.0,False,True,True,,unobserved,,,0,
ugc00731,UGC00731,01:10:44.0,+49:36:07.6,17.68333333,49.60211111,638.9,True,True,True,Group11,unobserved,,,0,
wiseaj011250-5,WISEAJ011250.5,01:12:50.6,+01:52:09.1,18.21083333,1.86919444,1089.0,True,True,True,Group01,unobserved,,,0,
wiseaj011250-8,WISEAJ011250.8,01:12:50.9,+01:02:50.3,18.21208333,1.04730556,1105.0,False,True,True,,unobserved,,,0,
ngc0428,NGC0428,01:12:55.8,+00:58:53.5,18.2325,0.98152778,1155.1,False,True,True,,unobserved,,,0,
ugc00772,UGC00772,01:13:39.4,+00:52:27.9,18.41416667,0.87441667,1161.1,False,True,True,,unobserved,,,0,
wiseaj011457-6,WISEAJ011457.6,01:14:57.6,+00:09:37.3,18.74,0.16036111,80.9,True,True,True,Group01,unobserved,,,0,
sdssj011658-72,SDSSJ011658.72,01:16:58.8,+00:22:59.9,19.245,0.38330556,500.7,True,True,True,Group01,unobserved,,,0,
wiseaj012003-7,WISEAJ012003.7,01:20:03.7,+01:07:12.4,20.01541667,1.12011111,1241.7,False,True,True,,unobserved,,,0,
ugc00891,UGC00891,01:21:19.0,+12:24:45.0,20.32916667,12.4125,643.1,True,True,True,Group01,unobserved,,,0,
wiseaj012651-9,WISEAJ012651.9,01:26:52.0,-20:14:52.2,21.71666667,-20.24783333,1229.1,False,False,True,,unobserved,,,0,
ugc01038,UGC01038,01:27:47.4,+43:15:05.9,21.9475,43.25163889,1227.9,False,True,True,,unobserved,,,0,
cgcg385-151,CGCG385-151,01:28:02.1,-00:44:17.9,22.00875,-0.73830556,965.0,True,True,True,Group01,unobserved,,,0,
ugc01056,UGC01056,01:28:47.4,+16:41:18.3,22.1975,16.68841667,595.1,True,True,True,Group01,unobserved,,,0,
sdssj013018-33,SDSSJ013018.33,01:30:18.3,+00:01:25.6,22.57625,0.02377778,471.0,True,True,True,Group01,unobserved,,,0,
lsbcf683-v10,LSBCF683-V10,01:30:31.9,+11:29:25.0,22.63291667,11.49027778,975.0,True,True,True,Group01,unobserved,,,0,
wiseaj013101-6,WISEAJ013101.6,01:31:01.6,-07:15:29.8,22.75666667,-7.25827778,1245.1,False,True,True,,unobserved,,,0,
ugc01085,UGC01085,01:31:18.9,+07:47:15.3,22.82875,7.78758333,650.8,True,True,True,Group01,unobserved,,,0,
wiseaj013155-8,WISEAJ013155.8,01:31:55.9,-07:22:24.0,22.98291667,-7.37333333,1245.1,False,True,True,,unobserved,,,0,
wiseaj013241-1,WISEAJ013241.1,01:32:41.1,-07:35:36.7,23.17125,-7.59352778,1245.1,False,True,True,,unobserved,,,0,
ugc01104,UGC01104,01:32:42.5,+18:19:00.8,23.17708333,18.31688889,688.0,True,True,True,Group01,unobserved,,,0,
wiseaj013259-7,WISEAJ013259.7,01:32:59.8,+14:22:26.0,23.24916667,14.37388889,658.3,True,True,True,Group01,unobserved,,,0,
sdssj013334-68,SDSSJ013334.68,01:33:34.7,+00:03:14.5,23.39458333,0.05402778,275.8,True,True,True,Group01,unobserved,,,0,
wiseaj013335-8,WISEAJ013335.8,01:33:35.8,-07:32:00.3,23.39916667,-7.53341667,1245.1,False,True,True,,unobserved,,,0,
wiseaj013358-0,WISEAJ013358.0,01:33:58.0,+66:22:00.3,23.49166667,66.36675,1160.5,False,True,True,,unobserved,,,0,
wiseaj013451-6,WISEAJ013451.6,01:34:51.6,+52:05:30.9,23.715,52.09191667,52.8,True,True,True,Group11,unobserved,,,0,
wiseaj013503-3,WISEAJ013503.3,01:35:03.3,-07:45:33.6,23.76375,-7.75933333,1178.5,False,True,True,,unobserved,,,0,
wiseaj013615-8,WISEAJ013615.8,01:36:15.9,-07:19:27.7,24.06625,-7.32436111,1245.1,False,True,True,,unobserved,,,0,
galexascj01363,GALEXASCJ01363,01:36:35.8,+23:48:55.5,24.14916667,23.81541667,561.0,True,True,True,Group01,unobserved,,,0,
ugc01171,UGC01171,01:39:44.8,+15:53:58.8,24.93666667,15.89966667,738.4,True,True,True,Group01,unobserved,,,0,
ugc01175,UGC01175,01:39:56.4,+11:05:51.0,24.985,11.0975,727.9,True,True,True,Group01,unobserved,,,0,
ugc01176,UGC01176,01:40:09.9,+15:54:17.0,25.04125,15.90472222,630.5,True,True,True,Group01,unobserved,,,0,
wiseaj014013-9,WISEAJ014013.9,01:40:13.9,-05:41:25.4,25.05791667,-5.69038889,1292.9,False,True,True,,unobserved,,,0,
ic0148,IC0148,01:42:27.0,+13:58:37.4,25.6125,13.97705556,767.2,True,True,True,Group01,unobserved,,,0,
ugc01200,UGC01200,01:42:48.3,+13:09:21.6,25.70125,13.156,807.9,True,True,True,Group01,unobserved,,,0,
galexascj01453,GALEXASCJ01453,01:45:31.9,+16:21:40.4,26.38291667,16.36122222,692.7,True,True,True,Group01,unobserved,,,0,
wiseaj014548-0,WISEAJ014548.0,01:45:48.0,+16:22:39.5,26.45,16.37763889,724.4,True,True,True,Group01,unobserved,,,0,
galexmscj01464,GALEXMSCJ01464,01:46:42.1,+26:48:09.0,26.67541667,26.8025,366.0,True,True,True,Group01,unobserved,,,0,
ugc01246,UGC01246,01:47:00.6,+12:24:19.5,26.7525,12.40541667,801.9,True,True,True,Group01,unobserved,,,0,
ugc01207,UGC01207,01:47:26.2,+82:09:31.5,26.85916667,82.15875,1256.1,False,True,True,,unobserved,,,0,
ic1727,IC1727,01:47:29.9,+27:20:02.1,26.87458333,27.33391667,345.1,True,True,True,Group01,unobserved,,,0,
ngc0672,NGC0672,01:47:54.4,+27:25:57.5,26.97666667,27.43263889,429.0,True,True,True,Group01,unobserved,,,0,
eso477-g005,ESO477-G005,01:48:49.5,-27:08:29.1,27.20625,-27.14141667,1352.1,False,False,True,,unobserved,,,0,
ugc01198,UGC01198,01:49:18.1,+85:15:38.4,27.32541667,85.26066667,1171.9,False,True,True,,unobserved,,,0,
wiseaj014928-9,WISEAJ014928.9,01:49:29.0,+55:33:56.0,27.37083333,55.56555556,657.1,True,True,True,Group11,unobserved,,,0,
ugc01281,UGC01281,01:49:31.6,+32:35:19.5,27.38166667,32.58875,155.9,True,True,True,Group01,unobserved,,,0,
kug0150-138,KUG0150-138,01:52:36.1,-13:34:39.4,28.15041667,-13.57761111,1364.1,False,True,True,,unobserved,,,0,
wiseaj015405-0,WISEAJ015405.0,01:54:05.0,-13:54:19.5,28.52083333,-13.90541667,1320.0,False,True,True,,unobserved,,,0,
wiseaj015548-3,WISEAJ015548.3,01:55:48.4,+65:30:04.0,28.95166667,65.50111111,830.4,True,True,True,Group11,unobserved,,,0,
ugc01443,UGC01443,01:57:33.9,+03:42:53.0,29.39125,3.71472222,845.0,True,True,True,Group01,unobserved,,,0,
ngc0746,NGC0746,01:57:50.9,+44:55:07.2,29.46208333,44.91866667,703.0,True,True,True,Group11,unobserved,,,0,
wiseaj015759-8,WISEAJ015759.8,01:57:59.9,+18:10:42.2,29.49958333,18.17838889,730.0,True,True,True,Group01,unobserved,,,0,
wiseaj015838-8,WISEAJ015838.8,01:58:38.8,+75:45:19.9,29.66166667,75.75552778,1322.7,False,True,True,,unobserved,,,0,
ngc0779,NGC0779,01:59:42.3,-05:57:47.7,29.92625,-5.96325,1391.0,False,True,True,,unobserved,,,0,
galexmscj02001,GALEXMSCJ02001,02:00:10.2,+28:49:51.8,30.0425,28.83105556,167.9,True,True,True,Group01,unobserved,,,0,
wiseaj020021-3,WISEAJ020021.3,02:00:21.4,+68:16:21.1,30.08916667,68.27252778,705.1,True,True,True,Group20,unobserved,,,0,
ngc0784,NGC0784,02:01:16.9,+28:50:12.3,30.32041667,28.83675,197.9,True,True,True,Group01,unobserved,,,0,
wiseaj020140-0,WISEAJ020140.0,02:01:40.1,-29:17:48.9,30.41708333,-29.29691667,659.5,True,False,True,Group01,unobserved,,,0,
wiseaj020245-6,WISEAJ020245.6,02:02:45.7,-26:01:59.2,30.69041667,-26.03311111,1229.0,False,False,True,,unobserved,,,0,
ugc01561,UGC01561,02:04:04.8,+24:12:32.7,31.02,24.20908333,605.9,True,True,True,Group01,unobserved,,,0,
ugca024,UGCA024,02:04:31.4,-06:11:56.1,31.13083333,-6.19891667,1362.9,False,True,True,,unobserved,,,0,
cas1,Cas1,02:06:03.4,+68:59:55.6,31.51416667,68.99877778,35.1,True,True,True,Group20,unobserved,,,0,
wiseaj020953-0,WISEAJ020953.0,02:09:53.1,-28:59:25.5,32.47125,-28.99041667,1319.1,False,False,True,,unobserved,,,0,
wiseaj021124-0,WISEAJ021124.0,02:11:24.1,+35:04:44.5,32.85041667,35.07902778,530.0,True,True,True,Group01,unobserved,,,0,
wiseaj021444-8,WISEAJ021444.8,02:14:44.9,-26:23:28.9,33.68708333,-26.39136111,1312.3,False,False,True,,unobserved,,,0,
galexascj02174,GALEXASCJ02174,02:17:47.4,-29:27:03.4,34.4475,-29.45094444,1229.1,False,False,True,,unobserved,,,0,
wiseaj021904-5,WISEAJ021904.5,02:19:04.6,-06:42:04.5,34.76916667,-6.70125,404.7,True,True,True,Group01,unobserved,,,0,
wiseaj021950-9,WISEAJ021950.9,02:19:50.9,+07:24:40.4,34.96208333,7.41122222,1272.0,False,True,True,,unobserved,,,0,
wiseaj022112-1,WISEAJ022112.1,02:21:12.2,+42:21:51.5,35.30083333,42.36430556,692.0,True,True,True,Group11,unobserved,,,0,
ugc01807,UGC01807,02:21:13.4,+42:45:45.7,35.30583333,42.76269444,628.1,True,True,True,Group11,unobserved,,,0,
wiseaj022118-9,WISEAJ022118.9,02:21:18.9,-00:47:55.0,35.32875,-0.79861111,1354.9,False,True,True,,unobserved,,,0,
wiseaj022154-3,WISEAJ022154.3,02:21:54.3,+71:53:09.9,35.47625,71.88608333,1135.0,False,True,True,,unobserved,,,0,
wiseaj022308-8,WISEAJ022308.8,02:23:08.9,-29:52:32.2,35.78708333,-29.87561111,779.5,True,False,True,Group01,unobserved,,,0,
mcg-03-07-009,MCG-03-07-009,02:24:14.8,-19:49:29.1,36.06166667,-19.82475,1052.0,True,True,True,Group01,unobserved,,,0,
ugc01862,UGC01862,02:24:24.9,-02:09:45.2,36.10375,-2.16255556,1382.9,False,True,True,,unobserved,,,0,
wiseaj022434-0,WISEAJ022434.0,02:24:34.0,+56:00:40.7,36.14166667,56.01130556,310.0,True,True,True,Group11,unobserved,,,0,
wiseaj022435-8,WISEAJ022435.8,02:24:35.8,-26:48:32.8,36.14916667,-26.80911111,1109.2,False,False,True,,unobserved,,,0,
ugc01865,UGC01865,02:25:00.3,+36:02:19.5,36.25125,36.03875,580.1,True,True,True,Group01,unobserved,,,0,
wiseaj022710-5,WISEAJ022710.5,02:27:10.6,+26:38:20.7,36.79416667,26.63908333,898.4,True,True,True,Group01,unobserved,,,0,
halogas,Halogas,02:27:19.5,+33:57:24.2,36.83125,33.95672222,527.9,True,True,True,Group01,unobserved,,,0,
ugc01924,UGC01924,02:27:49.8,+31:43:37.1,36.9575,31.72697222,598.1,True,True,True,Group01,unobserved,,,0,
ugc01958,UGC01958,02:28:59.0,+28:08:40.8,37.24583333,28.14466667,1015.1,True,True,True,Group01,unobserved,,,0,
ngc0949,NGC0949,02:30:48.7,+37:08:11.2,37.70291667,37.13644444,608.9,True,True,True,Group01,unobserved,,,0,
galexascj02312,GALEXASCJ02312,02:31:22.1,+25:42:42.0,37.84208333,25.71166667,938.1,True,True,True,Group01,unobserved,,,0,
wiseaj023137-2,WISEAJ023137.2,02:31:37.2,+09:31:41.9,37.905,9.52830556,897.0,True,True,True,Group01,unobserved,,,0,
kug0228-269,KUG0228+269,02:31:39.3,+27:10:43.6,37.91375,27.17877778,977.9,True,True,True,Group01,unobserved,,,0,
ugc01999,UGC01999,02:31:52.6,+19:09:10.4,37.96916667,19.15288889,971.9,True,True,True,Group01,unobserved,,,0,
wiseaj023152-6,WISEAJ023152.6,02:31:52.7,+33:30:05.0,37.96958333,33.50138889,822.6,True,True,True,Group01,unobserved,,,0,
ngc0959,NGC0959,02:32:24.0,+35:29:40.6,38.1,35.49461111,596.9,True,True,True,Group01,unobserved,,,0,
ugc02017,UGC02017,02:32:45.2,+28:50:26.4,38.18833333,28.84066667,985.1,True,True,True,Group01,unobserved,,,0,
ugc02014,UGC02014,02:32:53.8,+38:40:49.7,38.22416667,38.68047222,565.1,True,True,True,Group11,unobserved,,,0,
galexascj02331,GALEXASCJ02331,02:33:16.0,+28:10:43.8,38.31666667,28.17883333,1012.1,True,True,True,Group01,unobserved,,,0,
ugc02034,UGC02034,02:33:42.9,+40:31:38.7,38.42875,40.52741667,578.0,True,True,True,Group11,unobserved,,,0,
ugc02053,UGC02053,02:34:29.7,+29:44:59.1,38.62375,29.74975,1028.9,True,True,True,Group01,unobserved,,,0,
mb1,MB1,02:35:36.3,+59:22:42.5,38.90125,59.37847222,190.1,True,True,True,Group11,unobserved,,,0,
ugc02082,UGC02082,02:36:16.2,+25:25:26.6,39.0675,25.42405556,708.1,True,True,True,Group01,unobserved,,,0,
ic0239,IC0239,02:36:27.8,+38:58:09.1,39.11583333,38.96919444,893.0,True,True,True,Group11,unobserved,,,0,
maffei1,Maffei1,02:36:35.5,+59:39:17.7,39.14791667,59.65491667,66.3,True,True,True,Group11,unobserved,,,0,
wiseaj023718-5,WISEAJ023718.5,02:37:18.6,+38:55:58.9,39.3275,38.93302778,438.0,True,True,True,Group11,unobserved,,,0,
wiseaj023718-6,WISEAJ023718.6,02:37:18.7,+12:31:07.7,39.32791667,12.51880556,960.2,True,True,True,Group01,unobserved,,,0,
galexascj02373,GALEXASCJ02373,02:37:30.2,+21:22:46.4,39.37583333,21.37955556,950.0,True,True,True,Group01,unobserved,,,0,
2masxj02374186,2MASXJ02374186,02:37:41.8,+14:35:35.8,39.42416667,14.59327778,968.0,True,True,True,Group01,unobserved,,,0,
galexascj02380,GALEXASCJ02380,02:38:09.9,+16:32:30.9,39.54125,16.54191667,975.0,True,True,True,Group01,unobserved,,,0,
wiseaj023816-5,WISEAJ023816.5,02:38:16.6,+29:54:19.8,39.56916667,29.9055,693.1,True,True,True,Group01,unobserved,,,0,
ugc02126,UGC02126,02:38:47.1,+40:41:55.3,39.69625,40.69869444,712.9,True,True,True,Group11,unobserved,,,0,
ngc1003,NGC1003,02:39:17.0,+40:52:21.3,39.82083333,40.87258333,623.9,True,True,True,Group11,unobserved,,,0,
ngc1035,NGC1035,02:39:29.1,-08:07:59.8,39.87125,-8.13327778,1288.0,False,True,True,,unobserved,,,0,
galexascj02395,GALEXASCJ02395,02:39:51.8,+30:16:13.5,39.96583333,30.27041667,810.0,True,True,True,Group01,unobserved,,,0,
wiseaj024016-7,WISEAJ024016.7,02:40:16.8,+37:37:30.5,40.07,37.62513889,447.9,True,True,True,Group01,unobserved,,,0,
wiseaj024023-4,WISEAJ024023.4,02:40:23.5,-08:27:59.9,40.09791667,-8.46663889,1396.0,False,True,True,,unobserved,,,0,
ngc1042,NGC1042,02:40:24.0,-08:26:00.7,40.1,-8.43352778,1371.0,False,True,True,,unobserved,,,0,
ngc1023,NGC1023,02:40:24.0,+39:03:47.9,40.1,39.06330556,635.9,True,True,True,Group11,unobserved,,,0,
ugc02157,UGC02157,02:40:25.2,+38:33:47.5,40.105,38.56319444,488.1,True,True,True,Group11,unobserved,,,0,
ngc1036,NGC1036,02:40:29.0,+19:17:49.6,40.12083333,19.29711111,792.1,True,True,True,Group01,unobserved,,,0,
ngc1023d,NGC1023D,02:40:33.1,+38:54:01.7,40.13791667,38.90047222,699.3,True,True,True,Group11,unobserved,,,0,
ngc1023a,NGC1023A,02:40:37.7,+39:03:27.0,40.15708333,39.0575,740.7,True,True,True,Group11,unobserved,,,0,
ngc1023c,NGC1023C,02:40:39.8,+39:22:46.6,40.16583333,39.37961111,904.6,True,True,True,Group11,unobserved,,,0,
ngc0961,NGC0961,02:41:02.5,-06:56:08.6,40.26041667,-6.93572222,1295.1,False,True,True,,unobserved,,,0,
ugc02165,UGC02165,02:41:15.5,+38:44:37.9,40.31458333,38.74386111,699.0,True,True,True,Group11,unobserved,,,0,
sdssj024129-37,SDSSJ024129.37,02:41:29.4,-07:20:45.9,40.3725,-7.34608333,1292.0,False,True,True,,unobserved,,,0,
wiseaj024147-1,WISEAJ024147.1,02:41:47.1,+08:03:27.9,40.44625,8.05775,938.0,True,True,True,Group01,unobserved,,,0,
wiseaj024149-8,WISEAJ024149.8,02:41:49.9,-07:55:30.5,40.45791667,-7.92513889,1371.6,False,True,True,,unobserved,,,0,
maffei2,Maffei2,02:41:55.0,+59:36:14.6,40.47916667,59.60405556,-17.1,True,True,True,Group11,unobserved,,,0,
wiseaj024156-2,WISEAJ024156.2,02:41:56.2,-28:38:35.2,40.48416667,-28.64311111,1341.0,False,False,True,,unobserved,,,0,
ugc02172,UGC02172,02:42:10.8,+43:21:18.5,40.545,43.35513889,544.1,True,True,True,Group11,unobserved,,,0,
messier077,MESSIER077,02:42:40.7,-00:00:47.8,40.66958333,-0.01327778,1137.1,False,True,True,,unobserved,,,0,
wiseaj024246-8,WISEAJ024246.8,02:42:46.9,-07:32:31.3,40.69541667,-7.54202778,1337.1,False,True,True,,unobserved,,,0,
wiseaj024326-8,WISEAJ024326.8,02:43:26.9,+61:27:45.9,40.86208333,61.46275,1236.0,False,True,True,,unobserved,,,0,
wiseaj024358-0,WISEAJ024358.0,02:43:58.0,-09:14:24.2,40.99166667,-9.24005556,745.0,True,True,True,Group01,unobserved,,,0,
wiseaj024447-3,WISEAJ024447.3,02:44:47.3,+22:49:59.8,41.19708333,22.83327778,1045.0,True,True,True,Group01,unobserved,,,0,
ugc02221,UGC02221,02:44:57.8,+30:22:41.9,41.24083333,30.37830556,830.1,True,True,True,Group01,unobserved,,,0,
wiseaj024535-6,WISEAJ024535.6,02:45:35.6,-25:25:21.1,41.39833333,-25.42252778,929.4,True,False,True,Group01,unobserved,,,0,
wiseaj024603-6,WISEAJ024603.6,02:46:03.6,+64:55:15.8,41.515,64.92105556,315.1,True,True,True,Group11,unobserved,,,0,
