GALEXASCJ00002;     survey; Equatorial; J2000; 00:00:21.2; +31:01:17.9; Heliocentric; Optical; 566.0;  N;
WISEAJ015405.0;     survey; Equatorial; J2000; 01:54:05.0; -13:54:19.5; Heliocentric; Optical; 1320.0; N;
WISEAJ015548.3;     survey; Equatorial; J2000; 01:55:48.4; +65:30:04.0; Heliocentric; Optical; 830.4;  N;
UGC01443;           survey; Equatorial; J2000; 01:57:33.9; +03:42:53.0; Heliocentric; Optical; 845.0;  N;
NGC0746;            survey; Equatorial; J2000; 01:57:50.9; +44:55:07.2; Heliocentric; Optical; 703.0;  N;
WISEAJ015759.8;     survey; Equatorial; J2000; 01:57:59.9; +18:10:42.2; Heliocentric; Optical; 730.0;  N;
WISEAJ015838.8;     survey; Equatorial; J2000; 01:58:38.8; +75:45:19.9; Heliocentric; Optical; 1322.7; N;
NGC0779;            survey; Equatorial; J2000; 01:59:42.3; -05:57:47.7; Heliocentric; Optical; 1391.0; N;
GALEXMSCJ02001;     survey; Equatorial; J2000; 02:00:10.2; +28:49:51.8; Heliocentric; Optical; 167.9;  N;
WISEAJ020021.3;     survey; Equatorial; J2000; 02:00:21.4; +68:16:21.1; Heliocentric; Optical; 705.1;  N;
NGC0784;            survey; Equatorial; J2000; 02:01:16.9; +28:50:12.3; Heliocentric; Optical; 197.9;  N;
WISEAJ020140.0;     survey; Equatorial; J2000; 02:01:40.1; -29:17:48.9; Heliocentric; Optical; 659.5;  N;
WISEAJ020245.6;     survey; Equatorial; J2000; 02:02:45.7; -26:01:59.2; Heliocentric; Optical; 1229.0; N;
UGC01561;           survey; Equatorial; J2000; 02:04:04.8; +24:12:32.7; Heliocentric; Optical; 605.9;  N;
UGCA024;            survey; Equatorial; J2000; 02:04:31.4; -06:11:56.1; Heliocentric; Optical; 1362.9; N;
Cas1;               survey; Equatorial; J2000; 02:06:03.4; +68:59:55.6; Heliocentric; Optical; 35.1;   N;
WISEAJ020953.0;     survey; Equatorial; J2000; 02:09:53.1; -28:59:25.5; Heliocentric; Optical; 1319.1; N;
WISEAJ021124.0;     survey; Equatorial; J2000; 02:11:24.1; +35:04:44.5; Heliocentric; Optical; 530.0;  N;
WISEAJ021444.8;     survey; Equatorial; J2000; 02:14:44.9; -26:23:28.9; Heliocentric; Optical; 1312.3; N;
GALEXASCJ02174;     survey; Equatorial; J2000; 02:17:47.4; -29:27:03.4; Heliocentric; Optical; 1229.1; N;
WISEAJ021904.5;     survey; Equatorial; J2000; 02:19:04.6; -06:42:04.5; Heliocentric; Optical; 404.7;  N;
WISEAJ021950.9;     survey; Equatorial; J2000; 02:19:50.9; +07:24:40.4; Heliocentric; Optical; 1272.0; N;
WISEAJ022112.1;     survey; Equatorial; J2000; 02:21:12.2; +42:21:51.5; Heliocentric; Optical; 692.0;  N;
UGC01807;           survey; Equatorial; J2000; 02:21:13.4; +42:45:45.7; Heliocentric; Optical; 628.1;  N;
WISEAJ022118.9;     survey; Equatorial; J2000; 02:21:18.9; -00:47:55.0; Heliocentric; Optical; 1354.9; N;
WISEAJ022154.3;     survey; Equatorial; J2000; 02:21:54.3; +71:53:09.9; Heliocentric; Optical; 1135.0; N;
WISEAJ022308.8;     survey; Equatorial; J2000; 02:23:08.9; -29:52:32.2; Heliocentric; Optical; 779.5;  N;
MCG-03-07-009;      survey; Equatorial; J2000; 02:24:14.8; -19:49:29.1; Heliocentric; Optical; 1052.0; N;
UGC01862;           survey; Equatorial; J2000; 02:24:24.9; -02:09:45.2; Heliocentric; Optical; 1382.9; N;
WISEAJ022434.0;     survey; Equatorial; J2000; 02:24:34.0; +56:00:40.7; Heliocentric; Optical; 310.0;  N;
WISEAJ022435.8;     survey; Equatorial; J2000; 02:24:35.8; -26:48:32.8; Heliocentric; Optical; 1109.2; N;
UGC01865;           survey; Equatorial; J2000; 02:25:00.3; +36:02:19.5; Heliocentric; Optical; 580.1;  N;
WISEAJ022710.5;     survey; Equatorial; J2000; 02:27:10.6; +26:38:20.7; Heliocentric; Optical; 898.4;  N;
Halogas;            survey; Equatorial; J2000; 02:27:19.5; +33:57:24.2; Heliocentric; Optical; 527.9;  N;
UGC01924;           survey; Equatorial; J2000; 02:27:49.8; +31:43:37.1; Heliocentric; Optical; 598.1;  N;
UGC01958;           survey; Equatorial; J2000; 02:28:59.0; +28:08:40.8; Heliocentric; Optical; 1015.1; N;
NGC0949;            survey; Equatorial; J2000; 02:30:48.7; +37:08:11.2; Heliocentric; Optical; 608.9;  N;
GALEXASCJ02312;     survey; Equatorial; J2000; 02:31:22.1; +25:42:42.0; Heliocentric; Optical; 938.1;  N;
WISEAJ023137.2;     survey; Equatorial; J2000; 02:31:37.2; +09:31:41.9; Heliocentric; Optical; 897.0;  N;
KUG0228+269;        survey; Equatorial; J2000; 02:31:39.3; +27:10:43.6; Heliocentric; Optical; 977.9;  N;
UGC01999;           survey; Equatorial; J2000; 02:31:52.6; +19:09:10.4; Heliocentric; Optical; 971.9;  N;
WISEAJ023152.6;     survey; Equatorial; J2000; 02:31:52.7; +33:30:05.0; Heliocentric; Optical; 822.6;  N;
NGC0959;            survey; Equatorial; J2000; 02:32:24.0; +35:29:40.6; Heliocentric; Optical; 596.9;  N;
UGC02017;           survey; Equatorial; J2000; 02:32:45.2; +28:50:26.4; Heliocentric; Optical; 985.1;  N;
UGC02014;           survey; Equatorial; J2000; 02:32:53.8; +38:40:49.7; Heliocentric; Optical; 565.1;  N;
GALEXASCJ02331;     survey; Equatorial; J2000; 02:33:16.0; +28:10:43.8; Heliocentric; Optical; 1012.1; N;
UGC02034;           survey; Equatorial; J2000; 02:33:42.9; +40:31:38.7; Heliocentric; Optical; 578.0;  N;
UGC02053;           survey; Equatorial; J2000; 02:34:29.7; +29:44:59.1; Heliocentric; Optical; 1028.9; N;
MB1;                survey; Equatorial; J2000; 02:35:36.3; +59:22:42.5; Heliocentric; Optical; 190.1;  N;
UGC02082;           survey; Equatorial; J2000; 02:36:16.2; +25:25:26.6; Heliocentric; Optical; 708.1;  N;
IC0239;             survey; Equatorial; J2000; 02:36:27.8; +38:58:09.1; Heliocentric; Optical; 893.0;  N;
Maffei1;            survey; Equatorial; J2000; 02:36:35.5; +59:39:17.7; Heliocentric; Optical; 66.3;   N;
WISEAJ023718.5;     survey; Equatorial; J2000; 02:37:18.6; +38:55:58.9; Heliocentric; Optical; 438.0;  N;
WISEAJ023718.6;     survey; Equatorial; J2000; 02:37:18.7; +12:31:07.7; Heliocentric; Optical; 960.2;  N;
GALEXASCJ02373;     survey; Equatorial; J2000; 02:37:30.2; +21:22:46.4; Heliocentric; Optical; 950.0;  N;
2MASXJ02374186;     survey; Equatorial; J2000; 02:37:41.8; +14:35:35.8; Heliocentric; Optical; 968.0;  N;
GALEXASCJ02380;     survey; Equatorial; J2000; 02:38:09.9; +16:32:30.9; Heliocentric; Optical; 975.0;  N;
WISEAJ023816.5;     survey; Equatorial; J2000; 02:38:16.6; +29:54:19.8; Heliocentric; Optical; 693.1;  N;
UGC02126;           survey; Equatorial; J2000; 02:38:47.1; +40:41:55.3; Heliocentric; Optical; 712.9;  N;
NGC1003;            survey; Equatorial; J2000; 02:39:17.0; +40:52:21.3; Heliocentric; Optical; 623.9;  N;
NGC1035;            survey; Equatorial; J2000; 02:39:29.1; -08:07:59.8; Heliocentric; Optical; 1288.0; N;
GALEXASCJ02395;     survey; Equatorial; J2000; 02:39:51.8; +30:16:13.5; Heliocentric; Optical; 810.0;  N;
WISEAJ024016.7;     survey; Equatorial; J2000; 02:40:16.8; +37:37:30.5; Heliocentric; Optical; 447.9;  N;
WISEAJ024023.4;     survey; Equatorial; J2000; 02:40:23.5; -08:27:59.9; Heliocentric; Optical; 1396.0; N;
NGC1042;            survey; Equatorial; J2000; 02:40:24.0; -08:26:00.7; Heliocentric; Optical; 1371.0; N;
NGC1023;            survey; Equatorial; J2000; 02:40:24.0; +39:03:47.9; Heliocentric; Optical; 635.9;  N;
UGC02157;           survey; Equatorial; J2000; 02:40:25.2; +38:33:47.5; Heliocentric; Optical; 488.1;  N;
NGC1036;            survey; Equatorial; J2000; 02:40:29.0; +19:17:49.6; Heliocentric; Optical; 792.1;  N;
NGC1023D;           survey; Equatorial; J2000; 02:40:33.1; +38:54:01.7; Heliocentric; Optical; 699.3;  N;
NGC1023A;           survey; Equatorial; J2000; 02:40:37.7; +39:03:27.0; Heliocentric; Optical; 740.7;  N;
NGC1023C;           survey; Equatorial; J2000; 02:40:39.8; +39:22:46.6; Heliocentric; Optical; 904.6;  N;
NGC0961;            survey; Equatorial; J2000; 02:41:02.5; -06:56:08.6; Heliocentric; Optical; 1295.1; N;
UGC02165;           survey; Equatorial; J2000; 02:41:15.5; +38:44:37.9; Heliocentric; Optical; 699.0;  N;
SDSSJ024129.37;     survey; Equatorial; J2000; 02:41:29.4; -07:20:45.9; Heliocentric; Optical; 1292.0; N;
WISEAJ024147.1;     survey; Equatorial; J2000; 02:41:47.1; +08:03:27.9; Heliocentric; Optical; 938.0;  N;
WISEAJ024149.8;     survey; Equatorial; J2000; 02:41:49.9; -07:55:30.5; Heliocentric; Optical; 1371.6; N;
Maffei2;            survey; Equatorial; J2000; 02:41:55.0; +59:36:14.6; Heliocentric; Optical; -17.1;  N;
WISEAJ024156.2;     survey; Equatorial; J2000; 02:41:56.2; -28:38:35.2; Heliocentric; Optical; 1341.0; N;
UGC02172;           survey; Equatorial; J2000; 02:42:10.8; +43:21:18.5; Heliocentric; Optical; 544.1;  N;
MESSIER077;         survey; Equatorial; J2000; 02:42:40.7; -00:00:47.8; Heliocentric; Optical; 1137.1; N;
WISEAJ024246.8;     survey; Equatorial; J2000; 02:42:46.9; -07:32:31.3; Heliocentric; Optical; 1337.1; N;
WISEAJ024326.8;     survey; Equatorial; J2000; 02:43:26.9; +61:27:45.9; Heliocentric; Optical; 1236.0; N;
WISEAJ024358.0;     survey; Equatorial; J2000; 02:43:58.0; -09:14:24.2; Heliocentric; Optical; 745.0;  N;
WISEAJ024447.3;     survey; Equatorial; J2000; 02:44:47.3; +22:49:59.8; Heliocentric; Optical; 1045.0; N;
UGC02221;           survey; Equatorial; J2000; 02:44:57.8; +30:22:41.9; Heliocentric; Optical; 830.1;  N;
WISEAJ024535.6;     survey; Equatorial; J2000; 02:45:35.6; -25:25:21.1; Heliocentric; Optical; 929.4;  N;
WISEAJ024603.6;     survey; Equatorial; J2000; 02:46:03.6; +64:55:15.8; Heliocentric; Optical; 315.1;  N;
WISEAJ024609.9;     survey; Equatorial; J2000; 02:46:10.0; -29:00:39.3; Heliocentric; Optical; 1183.9; N;
KUG0243+275;        survey; Equatorial; J2000; 02:46:38.9; +27:43:34.7; Heliocentric; Optical; 471.9;  N;
WISEAJ024709.3;     survey; Equatorial; J2000; 02:47:09.3; +10:05:18.1; Heliocentric; Optical; 767.0;  N;
UGC02254;           survey; Equatorial; J2000; 02:47:21.7; +37:31:30.0; Heliocentric; Optical; 578.0;  N;
UGC02259;           survey; Equatorial; J2000; 02:47:55.5; +37:32:16.3; Heliocentric; Optical; 583.1;  N;
UGC02275;           survey; Equatorial; J2000; 02:47:57.8; +03:53:03.8; Heliocentric; Optical; 1024.7; N;
GALEXASCJ02483;     survey; Equatorial; J2000; 02:48:39.2; +23:16:28.0; Heliocentric; Optical; 468.6;  N;
UGC02302;           survey; Equatorial; J2000; 02:49:08.8; +02:07:39.0; Heliocentric; Optical; 1104.1; N;
NGC1110;            survey; Equatorial; J2000; 02:49:09.5; -07:50:14.4; Heliocentric; Optical; 1322.6; N;
UGCA044;            survey; Equatorial; J2000; 02:49:22.0; -02:39:16.5; Heliocentric; Optical; 1090.0; N;
WISEAJ024955.3;     survey; Equatorial; J2000; 02:49:55.4; -25:33:27.5; Heliocentric; Optical; 1109.2; N;
CGCG463-025;        survey; Equatorial; J2000; 02:50:19.7; +19:06:44.5; Heliocentric; Optical; 1239.9; N;
GALEXASCJ02502;     survey; Equatorial; J2000; 02:50:27.3; +24:18:34.0; Heliocentric; Optical; 1392.1; N;
MRK0600;            survey; Equatorial; J2000; 02:51:04.6; +04:27:13.9; Heliocentric; Optical; 1007.9; N;
WISEAJ025219.5;     survey; Equatorial; J2000; 02:52:19.5; +17:12:32.0; Heliocentric; Optical; 1264.0; N;
WISEAJ025253.4;     survey; Equatorial; J2000; 02:52:53.4; -00:51:49.9; Heliocentric; Optical; 1210.3; N;
GALEXASCJ02530;     survey; Equatorial; J2000; 02:53:03.9; +41:42:00.6; Heliocentric; Optical; 523.1;  N;
WISEAJ025405.6;     survey; Equatorial; J2000; 02:54:05.6; -00:52:36.3; Heliocentric; Optical; 973.4;  N;
WISEAJ025445.0;     survey; Equatorial; J2000; 02:54:45.0; +05:00:29.5; Heliocentric; Optical; 1007.0; N;
Dwingeloo1;         survey; Equatorial; J2000; 02:56:51.6; +58:54:42.0; Heliocentric; Optical; 110.3;  N;
UGC02432;           survey; Equatorial; J2000; 02:57:26.9; +10:08:08.9; Heliocentric; Optical; 757.9;  N;
GALEXASCJ02585;     survey; Equatorial; J2000; 02:58:56.4; +13:37:49.8; Heliocentric; Optical; 537.0;  N;
SDSSJ025858.60;     survey; Equatorial; J2000; 02:58:58.6; -07:36:43.5; Heliocentric; Optical; 161.9;  N;
NGC1156;            survey; Equatorial; J2000; 02:59:42.3; +25:14:16.2; Heliocentric; Optical; 368.0;  N;
WISEAJ030053.1;     survey; Equatorial; J2000; 03:00:53.1; -01:17:48.1; Heliocentric; Optical; 809.4;  N;
WISEAJ030117.0;     survey; Equatorial; J2000; 03:01:17.0; -23:31:04.4; Heliocentric; Optical; 1352.1; N;
WISEAJ030153.7;     survey; Equatorial; J2000; 03:01:53.7; -29:10:41.5; Heliocentric; Optical; 1289.1; N;
NGC1187;            survey; Equatorial; J2000; 03:02:37.6; -22:52:01.6; Heliocentric; Optical; 1390.1; N;
WISEAJ030404.7;     survey; Equatorial; J2000; 03:04:04.7; +67:16:07.3; Heliocentric; Optical; 592.7;  N;
WISEAJ030526.6;     survey; Equatorial; J2000; 03:05:26.6; +54:22:42.2; Heliocentric; Optical; 355.9;  N;
2MASXJ03061797;     survey; Equatorial; J2000; 03:06:18.0; -21:30:08.2; Heliocentric; Optical; 1334.1; N;
